Year,Drought,Extreme temperature,Extreme weather,Flood,Wildfire
1960,0.00,0.00,0.46,0.00,0.00
1961,0.00,0.00,0.48,0.00,0.00
1962,0.00,0.00,1.55,0.10,0.00
1963,0.00,0.00,0.88,0.00,0.00
1964,0.00,0.00,0.40,0.89,0.00
1965,0.06,0.00,1.67,0.52,0.00
1966,0.03,0.00,0.31,2.21,0.00
1967,0.23,0.00,0.45,0.33,0.07
1968,0.21,0.00,0.06,0.42,0.00
1969,0.25,0.00,1.57,0.55,0.00
1970,0.04,0.00,1.07,1.31,0.10
1971,0.05,0.10,0.21,0.56,0.00
1972,0.13,0.00,2.60,0.43,0.00
1973,0.12,0.00,0.54,1.73,0.00
1974,0.04,0.00,3.12,0.87,0.00
1975,0.04,0.60,1.46,1.08,0.00
1976,0.02,0.00,2.99,0.59,0.00
1977,0.92,2.80,1.16,0.72,0.00
1978,3.24,0.00,1.45,1.11,0.00
1979,0.96,0.08,3.50,0.19,0.01
1980,1.13,2.00,1.80,1.15,0.00
1981,4.84,0.00,1.72,2.64,0.00
1982,3.38,0.00,4.50,3.81,0.00
1983,1.59,0.00,5.44,7.61,0.63
1984,0.83,0.00,5.48,3.15,0.00
1985,0.88,0.14,5.83,3.40,0.13
1986,0.50,1.75,5.04,3.81,0.00
1987,0.00,0.00,6.57,6.14,0.21
1988,1.80,0.00,2.43,7.69,0.00
1989,1.60,0.00,10.35,3.90,4.28
1990,2.32,0.09,26.21,4.39,1.70
1991,3.78,0.77,17.54,12.22,2.59
1992,2.58,1.44,37.60,8.19,0.42
1993,1.34,1.59,14.38,32.82,1.00
1994,15.26,0.48,5.39,20.55,0.15
1995,1.49,0.83,25.00,27.42,0.14
1996,1.78,0.00,10.76,28.46,1.71
1997,1.15,0.03,7.52,18.31,8.31
1998,0.81,4.28,32.97,44.06,2.62
1999,5.87,1.00,43.34,15.61,0.49
2000,4.09,0.37,12.95,25.80,2.56
2001,2.61,0.20,14.54,4.65,0.03
2002,8.36,0.00,14.70,26.39,0.43
2003,0.75,12.52,21.36,20.68,6.10
2004,0.76,0.00,84.26,10.57,0.00
2005,2.69,0.40,184.83,17.69,3.81
2006,3.14,1.00,17.71,8.06,1.03
2007,0.45,0.00,29.81,24.17,4.60
2008,0.29,21.94,60.73,20.03,2.53
2009,1.59,1.11,26.12,8.00,1.52
2010,4.16,0.45,28.39,42.84,2.07
2011,10.11,0.78,50.87,76.06,3.00
2012,24.92,0.15,85.79,27.21,1.13
2013,1.76,1.40,52.60,53.40,1.07
2014,7.72,2.52,40.22,37.87,0.26
2015,12.73,0.09,34.35,20.93,3.44
2016,14.67,1.78,45.81,56.96,6.29
2017,7.43,0.00,272.59,20.44,16.92
2018,8.76,0.00,73.73,19.71,22.80
2019,0.96,0.00,57.64,35.88,3.07
2020,7.61,0.00,90.44,52.39,11.83
2021,15.77,5.60,137.60,75.61,8.15
2022,34.91,0.00,131.06,45.28,2.18
2023,21.86,0.55,101.78,20.88,6.85
2024,13.67,0.00,172.61,32.77,4.78
2025,0.00,0.60,15.05,0.49,53.80
