Very High_Exposure,Very High_Vulnerability,High_Exposure,High_Vulnerability,Medium_Exposure,Medium_Vulnerability,Low_Exposure,Low_Vulnerability,Very Low_Exposure,Very Low_Vulnerability,Country,Exposure,Vulnerability,WRI,WRI Category
82.55,57.82,15.61,68.64,16.61,46.14,11.46,48.32,6.9,47.12,Vanuatu,82.55,57.82,47.73,Very High
51.13,60.95,21.3,50.1,10.08,75.83,11.61,47.31,8.97,35.78,Salomonen,51.13,60.95,31.16,Very High
63.63,47.95,14.97,69.71,15.99,47.19,13.84,39.14,10.48,29.97,Tonga,63.63,47.95,30.51,Very High
61.74,44.41,14.88,70.02,12.37,61.04,14.23,37.92,11.4,27.45,Dominica,61.74,44.41,27.42,Very High
67.73,40.28,16.63,62.13,15.24,48.41,12.57,40.65,9.45,32.46,Antigua und Barbuda,67.73,40.28,27.28,Very High
58.17,39.14,15.61,65.86,12.73,57.28,15.24,33.25,13.08,23.41,Brunei Darussalam,58.17,39.14,22.77,Very High
43.93,49.69,22.04,46.6,16.49,43.96,10.9,46.15,10.76,28.46,Guyana,43.93,49.69,21.83,Very High
42.68,50.11,15.57,64.1,12.92,56.11,11.35,43.8,8.8,34.21,Philippinen,42.68,50.11,21.39,Very High
30.62,68.27,16.5,59.31,14.03,50.71,17.59,28.2,6.91,43.09,Papua-Neuguinea,30.62,68.27,20.9,Very High
36.79,54.98,38.51,25.09,22.23,31.18,11.94,40.97,7.33,39.94,Guatemala,36.79,54.98,20.23,Very High
37.23,47.59,13.65,68.87,9.66,71.09,15.02,31.58,10.84,26.48,Kap Verde,37.23,47.59,17.72,Very High
44.27,38.54,16.38,56.88,10.56,64.76,9.49,49.67,10.36,27.1,Costa Rica,44.27,38.54,17.06,Very High
28.11,57.74,14.51,64.11,11.95,56.88,10.89,43.01,8.45,33.3,Bangladesch,28.11,57.74,16.23,Very High
34.51,46.55,13.26,68.73,17.8,37.92,8.51,54.76,11.92,23.43,Fidschi,34.51,46.55,16.06,Very High
26.89,58.76,23.85,37.92,14.92,45.26,18.07,25.12,6.92,39.36,Kambodscha,26.89,58.76,15.8,Very High
28.27,55.73,13.97,64,14.83,45.32,9.83,45.96,11.41,23.79,Timor-Leste,28.27,55.73,15.75,Very High
25.78,60.03,13.35,66.98,11.1,59.98,16.68,26.9,11.51,23.12,Dschibuti,25.78,60.03,15.48,Very High
31.62,48.46,13.48,66.17,12.52,53.09,8.01,55.64,8,32.96,El Salvador,31.62,48.46,15.32,Very High
26.41,57.34,18.75,47.05,12.75,51.79,11.9,36.28,4.54,56.6,Kiribati,26.41,57.34,15.14,Very High
23.62,63.13,11.86,74.04,14.79,44.06,11.63,36.74,6.04,42.02,Komoren,23.62,63.13,14.91,Very High
21.41,67.91,22.58,38.41,13.47,47.93,12.04,34.55,9.57,26.41,Haiti,21.41,67.91,14.54,Very High
26.02,54.25,12.7,68.08,14.2,42.44,11.93,34.9,9.63,26.06,Nicaragua,26.02,54.25,14.12,Very High
19.27,72.15,12.88,67.07,14.29,41.08,9.24,44.47,8.88,28.1,Niger,19.27,72.15,13.9,Very High
18.88,70.92,13.13,64.49,11.3,51.89,9.63,41.51,8.8,25.62,Guinea-Bissau,18.88,70.92,13.39,Very High
20.35,64.21,19.77,41.63,13.08,44.74,13.03,30.58,7.35,29.72,Kamerun,20.35,64.21,13.07,Very High
19.64,64.46,13.15,62.37,12.25,47.72,8.23,47.86,9.01,22.68,Nigeria,19.64,64.46,12.66,Very High
35.97,34.83,12.27,66.63,12.15,48.06,11.77,30.73,8.26,24.24,Uruguay,35.97,34.83,12.53,Very High
19.75,62.78,16.73,47.97,14.48,40.21,7.43,47.98,6.51,30.52,Gambia,19.75,62.78,12.4,Very High
25.92,46.37,16.02,49.86,12.12,48,9.5,37.21,3.76,48.33,Jamaika,25.92,46.37,12.02,Very High
15.76,75.75,31.75,25.13,14.21,40.9,11.6,30.38,7.14,23.95,Tschad,15.76,75.75,11.94,Very High
17.92,65.33,11.75,67.52,10.63,54.54,9.6,36.63,4.18,40.39,Benin,17.92,65.33,11.71,Very High
24.72,46.48,16.28,48.56,10.4,55.77,12.58,27.92,3.61,37.96,Dominikanische Republik,24.72,46.48,11.49,Very High
32.51,34.83,13.54,57.98,16.3,35.26,9.34,37.29,2.4,43.98,Chile,32.51,34.83,11.32,Very High
20.66,54.35,17.74,43.74,8.27,69.12,7.37,47.12,2.58,36.46,Honduras,20.66,54.35,11.23,Very High
16.59,67.48,19.09,40.49,15.39,37.11,11.4,30.04,1.62,43,Burkina Faso,16.59,67.48,11.19,Very High
16.6,66.23,12.12,63.67,15.14,37.56,10.1,32.97,2.31,29.96,Togo,16.6,66.23,10.99,Very High
,,,,,,,,0.85,34.8,Mali,15.61,68.64,10.71,High
,,,,,,,,,,Indonesien,21.3,50.1,10.67,High
,,,,,,,,,,Madagaskar,14.97,69.71,10.44,High
,,,,,,,,,,Burundi,14.88,70.02,10.42,High
,,,,,,,,,,Kenia,16.63,62.13,10.33,High
,,,,,,,,,,Angola,15.61,65.86,10.28,High
,,,,,,,,,,Vietnam,22.04,46.6,10.27,High
,,,,,,,,,,Elfenbeinküste,15.57,64.1,9.98,High
,,,,,,,,,,Senegal,16.5,59.31,9.79,High
,,,,,,,,,,Japan,38.51,25.09,9.66,High
,,,,,,,,,,Sierra Leone,13.65,68.87,9.4,High
,,,,,,,,,,Ghana,16.38,56.88,9.32,High
,,,,,,,,,,Simbabwe,14.51,64.11,9.3,High
,,,,,,,,,,Mosambik,13.26,68.73,9.11,High
,,,,,,,,,,Mauritius,23.85,37.92,9.04,High
,,,,,,,,,,Tansania,13.97,64,8.94,High
,,,,,,,,,,Malawi,13.35,66.98,8.94,High
,,,,,,,,,,Liberia,13.48,66.17,8.92,High
,,,,,,,,,,Ecuador,18.75,47.05,8.82,High
,,,,,,,,,,Demokratische Rep. Kongo,11.86,74.04,8.78,High
,,,,,,,,,,Trinidad und Tobago,22.58,38.41,8.67,High
,,,,,,,,,,Guinea,12.7,68.08,8.65,High
,,,,,,,,,,Uganda,12.88,67.07,8.64,High
,,,,,,,,,,Sudan,13.13,64.49,8.47,High
,,,,,,,,,,Albanien,19.77,41.63,8.23,High
,,,,,,,,,,Mauretanien,13.15,62.37,8.2,High
,,,,,,,,,,Afghanistan,12.27,66.63,8.18,High
,,,,,,,,,,Belize,16.73,47.97,8.03,High
,,,,,,,,,,Venezuela,16.02,49.86,7.99,High
,,,,,,,,,,Niederlande,31.75,25.13,7.98,High
,,,,,,,,,,Äthiopien,11.75,67.52,7.93,High
,,,,,,,,,,Usbekistan,16.28,48.56,7.91,High
,,,,,,,,,,Eswatini,13.54,57.98,7.85,High
,,,,,,,,,,Panama,17.74,43.74,7.76,High
,,,,,,,,,,Malaysia,19.09,40.49,7.73,High
,,,,,,,,,,Sambia,12.12,63.67,7.72,High
,,,,,,,,,,Algerien,16.61,46.14,7.66,Medium
,,,,,,,,,,Zentralafrikanische Republik,10.08,75.83,7.64,Medium
,,,,,,,,,,Sri Lanka,15.99,47.19,7.55,Medium
,,,,,,,,,,Ruanda,12.37,61.04,7.55,Medium
,,,,,,,,,,Surinam,15.24,48.41,7.38,Medium
,,,,,,,,,,Äquatorialguinea,12.73,57.28,7.29,Medium
,,,,,,,,,,Kirgisistan,16.49,43.96,7.25,Medium
,,,,,,,,,,Myanmar,12.92,56.11,7.25,Medium
,,,,,,,,,,Föd. Staaten von Mikronesien,14.03,50.71,7.11,Medium
,,,,,,,,,,Griechenland,22.23,31.18,6.93,Medium
,,,,,,,,,,Eritrea,9.66,71.09,6.87,Medium
,,,,,,,,,,Kongo,10.56,64.76,6.84,Medium
,,,,,,,,,,Pakistan,11.95,56.88,6.8,Medium
,,,,,,,,,,Montenegro,17.8,37.92,6.75,Medium
,,,,,,,,,,Peru,14.92,45.26,6.75,Medium
,,,,,,,,,,Kolumbien,14.83,45.32,6.72,Medium
,,,,,,,,,,Lesotho,11.1,59.98,6.66,Medium
,,,,,,,,,,Indien,12.52,53.09,6.65,Medium
,,,,,,,,,,Gabun,12.75,51.79,6.6,Medium
,,,,,,,,,,Thailand,14.79,44.06,6.52,Medium
,,,,,,,,,,Südafrika,13.47,47.93,6.46,Medium
,,,,,,,,,,Mexiko,14.2,42.44,6.03,Medium
,,,,,,,,,,China,14.29,41.08,5.87,Medium
,,,,,,,,,,Namibia,11.3,51.89,5.86,Medium
,,,,,,,,,,Tunesien,13.08,44.74,5.85,Medium
,,,,,,,,,,Turkmenistan,12.25,47.72,5.85,Medium
,,,,,,,,,,Tadschikistan,12.15,48.06,5.84,Medium
,,,,,,,,,,Nordmazedonien,14.48,40.21,5.82,Medium
,,,,,,,,,,Marokko,12.12,48,5.82,Medium
,,,,,,,,,,Aserbaidschan,14.21,40.9,5.81,Medium
,,,,,,,,,,Syrien,10.63,54.54,5.8,Medium
,,,,,,,,,,Irak,10.4,55.77,5.8,Medium
,,,,,,,,,,Kuba,16.3,35.26,5.75,Medium
,,,,,,,,,,Jemen,8.27,69.12,5.72,Medium
,,,,,,,,,,Rumänien,15.39,37.11,5.71,Medium
,,,,,,,,,,Georgien,15.14,37.56,5.69,Medium
,,,,,,,,,,Samoa,11.46,48.32,5.54,Low
,,,,,,,,,,Libanon,11.61,47.31,5.49,Low
,,,,,,,,,,Serbien,13.84,39.14,5.42,Low
,,,,,,,,,,Armenien,14.23,37.92,5.4,Low
,,,,,,,,,,Türkei,12.57,40.65,5.11,Low
,,,,,,,,,,Ungarn,15.24,33.25,5.07,Low
,,,,,,,,,,Iran,10.9,46.15,5.03,Low
,,,,,,,,,,Brasilien,11.35,43.8,4.97,Low
,,,,,,,,,,Neuseeland,17.59,28.2,4.96,Low
,,,,,,,,,,Seychellen,11.94,40.97,4.89,Low
,,,,,,,,,,Italien,15.02,31.58,4.74,Low
,,,,,,,,,,Bolivien,9.49,49.67,4.71,Low
,,,,,,,,,,Bosnien und Herzegowina,10.89,43.01,4.68,Low
,,,,,,,,,,Nepal,8.51,54.76,4.66,Low
,,,,,,,,,,Australien,18.07,25.12,4.54,Low
,,,,,,,,,,St. Lucia,9.83,45.96,4.52,Low
,,,,,,,,,,Irland,16.68,26.9,4.49,Low
,,,,,,,,,,Laos,8.01,55.64,4.46,Low
,,,,,,,,,,Kuwait,11.9,36.28,4.32,Low
,,,,,,,,,,Bahamas,11.63,36.74,4.27,Low
,,,,,,,,,,Kroatien,12.04,34.55,4.16,Low
,,,,,,,,,,Bulgarien,11.93,34.9,4.16,Low
,,,,,,,,,,Jordanien,9.24,44.47,4.11,Low
,,,,,,,,,,Moldawien,9.63,41.51,4,Low
,,,,,,,,,,Ver. Staaten von Amerika,13.03,30.58,3.98,Low
,,,,,,,,,,Botswana,8.23,47.86,3.94,Low
,,,,,,,,,,Spanien,11.77,30.73,3.62,Low
,,,,,,,,,,Paraguay,7.43,47.98,3.56,Low
,,,,,,,,,,Russische Föderation,9.5,37.21,3.53,Low
,,,,,,,,,,Portugal,11.6,30.38,3.52,Low
,,,,,,,,,,Argentinien,9.6,36.63,3.52,Low
,,,,,,,,,,Vereinigtes Königreich,12.58,27.92,3.51,Low
,,,,,,,,,,Kasachstan,9.34,37.29,3.48,Low
,,,,,,,,,,Libyen,7.37,47.12,3.47,Low
,,,,,,,,,,Slowenien,11.4,30.04,3.42,Low
,,,,,,,,,,Slowakei,10.1,32.97,3.33,Low
,,,,,,,,,,Bhutan,6.9,47.12,3.25,Very Low
,,,,,,,,,,Zypern,8.97,35.78,3.21,Very Low
,,,,,,,,,,Vereinigte Arabische Emirate,10.48,29.97,3.14,Very Low
,,,,,,,,,,Südkorea,11.4,27.45,3.13,Very Low
,,,,,,,,,,Polen,9.45,32.46,3.07,Very Low
,,,,,,,,,,Österreich,13.08,23.41,3.06,Very Low
,,,,,,,,,,Tschechische Republik,10.76,28.46,3.06,Very Low
,,,,,,,,,,Lettland,8.8,34.21,3.01,Very Low
,,,,,,,,,,Mongolei,6.91,43.09,2.98,Very Low
,,,,,,,,,,Bahrain,7.33,39.94,2.93,Very Low
,,,,,,,,,,Norwegen,10.84,26.48,2.87,Very Low
,,,,,,,,,,Kanada,10.36,27.1,2.81,Very Low
,,,,,,,,,,Israel,8.45,33.3,2.81,Very Low
,,,,,,,,,,Dänemark,11.92,23.43,2.79,Very Low
,,,,,,,,,,Ukraine,6.92,39.36,2.72,Very Low
,,,,,,,,,,Belgien,11.41,23.79,2.71,Very Low
,,,,,,,,,,Deutschland,11.51,23.12,2.66,Very Low
,,,,,,,,,,Belarus,8,32.96,2.64,Very Low
,,,,,,,,,,São Tomé and Príncipe,4.54,56.6,2.57,Very Low
,,,,,,,,,,Oman,6.04,42.02,2.54,Very Low
,,,,,,,,,,Luxemburg,9.57,26.41,2.53,Very Low
,,,,,,,,,,Frankreich,9.63,26.06,2.51,Very Low
,,,,,,,,,,Singapur,8.88,28.1,2.5,Very Low
,,,,,,,,,,Schweden,8.8,25.62,2.25,Very Low
,,,,,,,,,,Litauen,7.35,29.72,2.18,Very Low
,,,,,,,,,,Schweiz,9.01,22.68,2.04,Very Low
,,,,,,,,,,Finnland,8.26,24.24,2,Very Low
,,,,,,,,,,Estland,6.51,30.52,1.99,Very Low
,,,,,,,,,,Ägypten,3.76,48.33,1.82,Very Low
,,,,,,,,,,Island,7.14,23.95,1.71,Very Low
,,,,,,,,,,Malediven,4.18,40.39,1.69,Very Low
,,,,,,,,,,Barbados,3.61,37.96,1.37,Very Low
,,,,,,,,,,Grenada,2.4,43.98,1.06,Very Low
,,,,,,,,,,Saudi-Arabien,2.58,36.46,0.94,Very Low
,,,,,,,,,,St. Vincent u. die Grenadinen,1.62,43,0.7,Very Low
,,,,,,,,,,Malta,2.31,29.96,0.69,Very Low
,,,,,,,,,,Katar,0.85,34.8,0.3,Very Low
